Product Name,Advert Link,Price
"14.1"" Full HD Windows 10 Laptop - 4GB RAM 32GB Storage, A90B+ Pro Model Lapbook, Intel 64-bit USB 3.0, 5GHz WIFI (Dual-Band WIFI) 2x WIFI speeds, Supports 256GB tf-card and 1TB HDD (A90B+ PRO)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_2?ie=UTF8&adId=A0591639AA86OOJEORDB&url=%2F14-1-Full-Windows-Laptop-Dual-Band%2Fdp%2FB07K2GT8M6%2Fref%3Dsr_1_60_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190578%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-60-spons%26psc%3D1&qualifier=1556190578&id=2982887657923726&widgetName=sp_mtf,"199
."
"Huawei MateBook 13-Inch Laptop - (Grey) (Intel Core i5, 8GB RAM, 256GB SSD, Intel HD Graphics 620, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A0726666ZDSX8WRIB6CN&url=%2FHuawei-MateBook-13-Inch-Laptop-Graphics%2Fdp%2FB07NFJRL8K%2Fref%3Dsr_1_69_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190578%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-69-spons%26psc%3D1&qualifier=1556190578&id=2982887657923726&widgetName=sp_btf,"799
."
"HP Spectre 13 x 360 13.3 Inch Full HD Touch-Screen Convertible Laptop with Stylus - (Dark Ash Silver) (Intel Core i7-8565U, 16 GB RAM, 1 TB SSD, Full HD IR Webcam, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A02470652ZVQ72TPE9MZE&url=%2FHP-Spectre-Touch-Screen-Convertible-Laptop%2Fdp%2FB07J6SMJ8V%2Fref%3Dsr_1_65_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190581%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-65-spons%26psc%3D1&qualifier=1556190581&id=4391091930191456&widgetName=sp_atf_next,"1,499
."
"HP ENVY 13-ah0001na 13.3-Inch FHD Touch Screen Laptop - (Silver) (Intel i5-8250U, 8 GB RAM, 256 GB SSD, NVIDIA GeForce MX150, 2 GB Dedicated, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_2?ie=UTF8&adId=A0247713Q131FANB6VG6&url=%2FHP-13-ah0001na-13-3-Inch-Screen-Laptop%2Fdp%2FB07DM8V781%2Fref%3Dsr_1_66_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190581%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-66-spons%26psc%3D1&qualifier=1556190581&id=4391091930191456&widgetName=sp_atf_next,"799
."
"Apple MacBook 2017 (12 Inch, 1.2 GHz dual-core Intel Core m3, 8 GB RAM, 256 GB SSD) - Space Gray",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A074043925C99T48K6O3C&url=%2FApple-Macbook-MNYF2-Intel%25C2%25AE-GRAPHICS%2Fdp%2FB072VBFC6G%2Fref%3Dsr_1_75_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190581%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-75-spons%26psc%3D1&qualifier=1556190581&id=4391091930191456&widgetName=sp_mtf,"1,149
."
"Apple MacBook Pro (13 Inch Retina, 2.3 GHz Dual-Core Intel Core i5, 8 GB RAM, 128 GB SSD) - Silver (Latest Model)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_2?ie=UTF8&adId=A07398831SBHGOL8WRMR0&url=%2FApple-Macbook-MPXR2B-Processor-Graphics%2Fdp%2FB071X66RKB%2Fref%3Dsr_1_76_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190581%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-76-spons%26psc%3D1&qualifier=1556190581&id=4391091930191456&widgetName=sp_mtf,"1,129
."
"Google Pixelbook Chromebook 12.3 Inch Laptop - (White) (Intel Core i5 Processor, 8 GB RAM, 128 GB SDD, Chrome OS)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A0630533C98VOL10KKBL&url=%2FGoogle-Pixelbook-i5-7Y57-1600Pixel-Chromebook%2Fdp%2FB0776WCLHL%2Fref%3Dsr_1_85_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190581%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-85-spons%26psc%3D1&qualifier=1556190581&id=4391091930191456&widgetName=sp_btf,"849
."
"Huawei MateBook 13-Inch Laptop - (Grey) (Intel Core i7, 8GB RAM, 512GB SSD, Intel HD Graphics 620, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_2?ie=UTF8&adId=A0726766232GCNQNB8ITK&url=%2FHuawei-MateBook-13-Inch-Laptop-Graphics%2Fdp%2FB07NFJ5LVN%2Fref%3Dsr_1_86_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190581%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-86-spons%26psc%3D1&qualifier=1556190581&id=4391091930191456&widgetName=sp_btf,"1,039
."
"Apple MacBook Air 2017 (13 Inch, 1.8 GHz dual-core Intel Core i5, 8 GB RAM, 128 GB SSD) - Silver",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg6_1?ie=UTF8&adId=A07395472VXAZ9WGR9NZ9&url=%2FApple-Macbook-MQD32-Intel-GRAPH%2Fdp%2FB071X4YWBD%2Fref%3Dsr_1_81_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190584%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-81-spons%26psc%3D1&qualifier=1556190583&id=1768660170237768&widgetName=sp_atf_next,"789
."
"HP Spectre 13 x360 13.3-Inch Full HD Touch-screen Convertible Laptop with Stylus - (Dark Ash Silver) (Intel Core i7-8565U, 8 GB RAM, 512 GB SSD, Full HD IR Webcam, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg6_2?ie=UTF8&adId=A024722114L83GXUX8MQ9&url=%2FHP-Spectre-13-3-Inch-Touch-screen-Convertible%2Fdp%2FB07JCDW8Y8%2Fref%3Dsr_1_82_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190584%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-82-spons%26psc%3D1&qualifier=1556190583&id=1768660170237768&widgetName=sp_atf_next,"1,199
."
"Apple MacBook Pro (13-inch MacBook Pro: 2.3GHz dual-core i5, 128GB - Space Grey)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A07400391BPQT5EY6Y1HA&url=%2FApple-MPXQ2B-MacBook-Pro-2017%2Fdp%2FB072N2G4L7%2Fref%3Dsr_1_91_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190584%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-91-spons%26psc%3D1&qualifier=1556190583&id=1768660170237768&widgetName=sp_mtf,"1,124
."
"Apple MacBook (12"", 1.3GHz dual-core Intel Core i5, 8GB RAM, 512GB SSD) - Silver",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_2?ie=UTF8&adId=A074019513OECTZYOF8QL&url=%2FApple-MacBook-1-3GHz-dual-core-Intel%2Fdp%2FB072KK14WH%2Fref%3Dsr_1_92_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190584%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-92-spons%26psc%3D1&qualifier=1556190583&id=1768660170237768&widgetName=sp_mtf,"1,484
."
"ASUS X540NA-GQ232T 15.6 Inch HD Laptop - (Chocolate Black) (Intel Pentium N4200, 4 GB RAM, 1 TB HDD, Windows 10)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg6_1?ie=UTF8&adId=A07985121HGPAJL94R80N&url=%2FASUS-X540NA-GQ232T-Chocolate-Pentium-Windows%2Fdp%2FB07FF9SXJT%2Fref%3Dsr_1_101_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190584%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-101-spons%26psc%3D1&qualifier=1556190583&id=1768660170237768&widgetName=sp_btf,"249
."
